id,user_id,channel,status,sent_at
045b9805-220e-4bdc-824e-a816a19ac51e,b3ddac07-c369-416c-bb4e-032e15697685,EMAIL,PENDING,2026-04-19 05:46:25+00
839ab24a-118d-407d-80a3-0580e0d1d273,b0ba15b3-0cf8-430c-9c24-f1e7a56ed191,SMS,FAILED,2026-03-28 16:16:31+00
5ddf18d8-434b-47ea-a447-2b2eaa275770,32beed40-a8b3-44b2-9a6a-126ba2efdd48,IN_APP,SENT,2026-04-06 02:07:19+00
a601cd05-8371-4a4b-9386-449657b27fa1,d54415c8-33a1-4857-b739-8db360720024,SMS,SENT,2026-04-13 07:31:12+00
0fa436fb-7c77-47dd-a43e-b4f3f1aae4c2,1ed63b1c-e14c-46e9-8da7-3cfd3cb2e65b,EMAIL,SENT,2026-05-16 08:04:17+00
f053c3da-bf04-49d3-a442-d2adcff86fbd,ecade717-56b6-4525-8e40-28f73d428999,EMAIL,FAILED,2026-05-05 10:54:13+00
c7fde13e-68f0-444f-9816-92a641c328d8,4350ceb1-35da-4532-b53c-eea21f9be5a3,IN_APP,PENDING,2026-03-21 22:33:04+00
66ddc806-4d21-4bf1-8a98-df03e3fbc0ce,2bb6aabf-6e16-4ac9-85f0-426e46054282,EMAIL,PENDING,2026-04-12 14:24:55+00
6cf500ac-5aa8-4830-af13-249c17d88899,7ac4f7fa-d333-4cff-9633-6e87d1ae085b,SMS,FAILED,2026-04-23 08:36:11+00
2bc1880a-586f-4f06-97c2-07e127d1de68,09fb571c-12e0-4fd0-b8aa-1694c3d46033,IN_APP,PENDING,2026-03-21 12:41:30+00
e00c5e8f-1cb8-486e-9c01-da23c0dc4713,32b8f5fa-bbde-4c6e-8ed2-36869ed0e663,IN_APP,PENDING,2026-03-15 17:42:44+00
2fdc87e7-7817-4c90-a23f-5cef1ef84e6c,d1c2d050-cf9d-4d45-8a8e-5903abe06352,EMAIL,FAILED,2026-05-06 22:49:31+00
c66da8cd-18e1-4fea-8d17-f851604d32c1,4c215462-f926-475e-8d84-70dc66dc3a6d,SMS,SENT,2026-05-06 04:38:16+00
3b72b5fe-067b-4ba3-9618-28c630a09e46,f25377bb-3dee-427d-b121-8f49365ef9a7,SMS,SENT,2026-03-11 01:09:49+00
b41111d3-502c-406f-8f1d-806f3fb41ae2,511f27ce-a37a-4b77-86ce-775b73247463,EMAIL,FAILED,2026-03-12 14:44:42+00
7b916c26-26eb-4f08-ab1a-467f6bb53b00,afadc17b-aeef-46bf-8e24-a9c6922da3c0,SMS,SENT,2026-03-14 22:50:42+00
7a86e8a2-d860-47da-8828-7f3913dbf338,8ba056f6-170f-4e24-a917-e333f6ca8bb5,IN_APP,FAILED,2026-04-21 23:32:34+00
9171eb5d-a214-42b2-b3b8-84a3a3be9df3,0c76c53f-f912-455b-b95c-efbbefb24aed,IN_APP,FAILED,2026-05-04 21:01:15+00
11f41175-e563-42d5-b150-94313b5b6994,4c215462-f926-475e-8d84-70dc66dc3a6d,EMAIL,FAILED,2026-03-09 09:47:18+00
7aab07c3-6296-4012-924a-51d5b4b5f1f1,0c76c53f-f912-455b-b95c-efbbefb24aed,EMAIL,SENT,2026-05-07 02:58:00+00
b5fb6eb3-4376-4638-be4a-e39b2f734ad1,09f7b0ef-bed3-4f57-bcf6-78f42e31d110,SMS,PENDING,2026-03-20 01:33:29+00
d647cf7b-3e9f-46e1-bff8-c7fd201c8c39,0f3ff99c-6bcc-4579-9788-11a3baf93d77,SMS,FAILED,2026-04-28 14:42:09+00
09f6d135-5d1d-4493-b7cf-3cf5f2ed47e7,1e8b15ee-2d61-490d-aedd-c752925dfcd0,IN_APP,SENT,2026-04-19 12:25:01+00
fe74ef9a-d8a1-42b9-a882-ce365c9d170a,8fbd6bdc-9d81-419a-9953-510f95aad2a5,EMAIL,FAILED,2026-03-31 00:02:41+00
f599d6ba-1885-48a7-a9c0-9108f7345e6e,90571860-2706-417b-a4f6-1ac855b64ef3,IN_APP,SENT,2026-04-16 02:16:22+00
